Problem,TTS_sim_cycles,TTS_prediced,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
formula_46,13195,1378.8775,1000111010000000001000111000000000000000100000000000000001010010100100000000000001010010100101000000000000101101101000000100000001110010010111100000000000000000111110010001110111000000000000,32.2,44399.8555,,,,,,,,,,,,,,,,,,,,
formula_47,15872,1658.624,1111010101011110100000000111101000000000101101011010101001101000000100000100110100000000100101000000101000101101101000000011100101110010010111100000000001101000111110010001110111000000000000,32.2,53407.6928,,,,,,,,,,,,,,,,,,,,
formula_48,15659,1636.3655,1111001110011110011111001000000000000001001101011010101000000000100101000100110100000010100101000000101000101101101000000100111101110010010111100000000001110010111110010001110111000000000000,32.2,52690.9691,,,,,,,,,,,,,,,,,,,,
formula_49,238631,24936.9395,1100100101111001000000000110010011001000101010010100001000000010100001100011000100000010100101000000000101101101101000000011010001011110010111100000000000101000110011110011111111100100000000,32.2,802969.4519,,,,,,,,,,,,,,,,,,,,
formula_50,14876,1554.542,1100101110011001011100101000000000000001001010000000001001010000100110000000101001010010100101000000101101101101101000000101100101011110010111100000000000100000110011110011111111100100000000,32.2,50056.2524,,,,,,,,,,,,,,,,,,,,
formula_51,7230,755.535,1010101101000001010000110100000010001011010001011100100010100000100000100100,32.2,24328.227,,,,,,,,,,,,,,,,,,,,
formula_52,124400,12999.8,1110100110111101001110100000000011101001001101010100001001010000000001100111000110001000000101000000101101101101101000000100111101011110010111100000000001110010110011110011111111100100000000,32.2,418593.56,,,,,,,,,,,,,,,,,,,,
formula_53,3058,319.561,1111111010000000001111111000000000000000101010010100101001010010100101010100101001010010100101000000101101101101101000000100111101011110010111100000000001110010110011110011111111100100000000,32.2,10289.8642,,,,,,,,,,,,,,,,,,,,
formula_54,625,65.3125,1011010000010110000010000001010010001011010001011100100010100000100000100100,10,653.125,,,,,,,,,,,,,,,,,,,,
formula_55,868,90.706,1101011011010110100000010010100001001010000111011010000001000111111010100000011111000001000100,16,1451.296,,,,,,,,,,,,,,,,,,,,
formula_56,8020,838.09,1000101000000100010000001000000000000000010000000001010001000000000111001000000000000001000100,16,13409.44,,,,,,,,,,,,,,,,,,,,
formula_57,2745,286.8525,1010011110100101001010001011010101001010000000111010000000100111111010100001011111000001000100,16,4589.64,,,,,,,,,,,,,,,,,,,,
formula_58,8789,918.4505,1100101000000110010000001010100000000000011010000001010001001010000111001001000000000001000100,16,14695.208,,,,,,,,,,,,,,,,,,,,
formula_59,3482,363.869,1011011010110101100000001000100110101010001010000110000000101010000110100100101000000001000100,16,5821.904,,,,,,,,,,,,,,,,,,,,
formula_60,123,12.8535,010100010000000001100,4,51.414,,,,,,,,,,,,,,,,,,,,
formula_61,392,40.964,1110101000000111010000001010100101000000011011010001010001010111100111001001110010000001000100,16,655.424,,,,,,,,,,,,,,,,,,,,
formula_62,7326,765.567,1110011111100111001110010100111000101010000111010110000001000111111110100100011111000011001100,16,12249.072,,,,,,,,,,,,,,,,,,,,
formula_63,1214,126.863,1000111010001100010000001000000000000010010000001011010000100000000101111001001000001011001100,16,2029.808,,,,,,,,,,,,,,,,,,,,
formula_64,1542,161.139,1101010111010000001101001010100110100000011010001011010000101010000101111000101000001011001100,16,2578.224,,,,,,,,,,,,,,,,,,,,
formula_65,1899,198.4455,1100111011001110010000010010100000000010010110001011010001011010010101111000100000001011001100,16,3175.128,,,,,,,,,,,,,,,,,,,,
formula_66,1727,180.4715,1011101000000101110000001000000101001010010001011011010001011100100101111000100000001011001100,16,2887.544,,,,,,,,,,,,,,,,,,,,
formula_67,66,6.897,011101011011100101100,4,27.588,,,,,,,,,,,,,,,,,,,,
formula_68,331,34.5895,1111101000000111110000001010100101001010011011011011010001010111100101111001110010001011001100,16,553.432,,,,,,,,,,,,,,,,,,,,
formula_69,8582,896.819,101100101010110000000010110000000000011010001001010010100000011010101001010000000000000001110100000000010000000001111110000000000000001010010010001000100000000000,24,21523.656,,,,,,,,,,,,,,,,,,,,
formula_70,1025,107.1125,111010110011101011101000000000000010011010101000010010100001011010101001010000000000000001110100000000010101000001111110000000010000001010010010001000100000000000,24,2570.7,,,,,,,,,,,,,,,,,,,,
formula_71,11911,1244.6995,101001010000000010100100000000000001000000101000000000000100010100000000000010100000010100000010100000010110010000000000101000001000001010000000001000100000000000,24,29872.788,,,,,,,,,,,,,,,,,,,,
formula_72,2647,276.6115,111000110111100011100000000011100010011010101000000000000001100110101001010000000000010101110100000000010011110001111110000000011100101010010010001000100000000000,24,6638.676,,,,,,,,,,,,,,,,,,,,
formula_73,1564,163.438,100101010000000010010100000000000001000000000001010000000100000000101000000010100000000010100010100000010000000010100000101000000000001010000000101010100000000000,24,3922.512,,,,,,,,,,,,,,,,,,,,
formula_74,1776,185.592,100010101010001000000010001000000000010100000000010000000101000000101000000010100000000010100010100000010101000010100000101000010000001010000000101010100000000000,24,4454.208,,,,,,,,,,,,,,,,,,,,
formula_75,893,93.3185,110101010000000011010100000000000001010100000001010000000101000000101000000010100000000010100010100000010101000010100000101000010000001010000000101010100000000000,24,2239.644,,,,,,,,,,,,,,,,,,,,
formula_76,4993,521.7685,101110110010111010111000000000000001000100110101101010100001000000001001101000000000000010100010100000001101000010100000101000001010001010000000101010100000000000,24,12522.444,,,,,,,,,,,,,,,,,,,,
formula_77,1299,135.7455,1101111011001110111111101000101010010,24,3257.892,,,,,,,,,,,,,,,,,,,,
formula_78,9682,1011.769,101100111010110010110010110000000001011010110110001010100000000100001001101000000000010110100010100000001110010010100000101000011010001010000000101010100000000000,24,24282.456,,,,,,,,,,,,,,,,,,,,
formula_79,668,69.806,111110110011111011111000000000000010011010110101101010100001000100001001101000000000010110100010100000010011110010100000101000011100101010000000101010100000000000,24,1675.344,,,,,,,,,,,,,,,,,,,,
formula_80,7222,754.699,111101010000000011110100000000000001010100101001010000000101010100101000000010100000010110100010100000010011110010100000101000011100101010000000101010100000000000,24,18112.776,,,,,,,,,,,,,,,,,,,,
formula_81,11711,1223.7995,110010101011001000000011001000000001010100101000010000000101010100101000000010100000010110100010100000001011110010100000101000000111101010000000101001100100000000,24,29371.188,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
cycle_us,0.1045,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
