Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
C3_formula_56.cnf,5,0.5225,10100100100000010010010000000000000001000000010010,4,2.09,,,,,,,,,,,,,,,,,,,,
C3_formula_57.cnf,125,13.0625,00000000110000000111010001101000101001001010100101,4,52.25,,,,,,,,,,,,,,,,,,,,
C3_formula_58.cnf,23,2.4035,00000000110100101001001001110010010001100000010011,4,9.614,,,,,,,,,,,,,,,,,,,,
C3_formula_59.cnf,50,5.225,10000100000000000000001110011010010011010001100000,4,20.9,,,,,,,,,,,,,,,,,,,,
C3_formula_60.cnf,240,25.08,11010001010010110011001010001000000001010000011100,4,100.32,,,,,,,,,,,,,,,,,,,,
C3_formula_61.cnf,104,10.868,01011100100000001010110000100001000010001101000101,4,43.472,,,,,,,,,,,,,,,,,,,,
C3_formula_62.cnf,174,18.183,10110010111101100100111111000000001011000011000001,4,72.732,,,,,,,,,,,,,,,,,,,,
C3_formula_63.cnf,13,1.3585,00110000011000001010000001101000000101000000000000,4,5.434,,,,,,,,,,,,,,,,,,,,
C3_formula_64.cnf,109,11.3905,10100001010100110000000000100110011000011000000010,4,45.562,,,,,,,,,,,,,,,,,,,,
C3_formula_65.cnf,43,4.4935,01011001010101010010000000000001000100101001100100,4,17.974,,,,,,,,,,,,,,,,,,,,
C3_formula_66.cnf,26,2.717,00010000000000000010010000001101111000001000000000,4,10.868,,,,,,,,,,,,,,,,,,,,
C3_formula_67.cnf,519,54.2355,10000101010101001100011011010011010100111000110110,4,216.942,,,,,,,,,,,,,,,,,,,,
C3_formula_68.cnf,42,4.389,00000010000010100000000000000000110000000101000011,4,17.556,,,,,,,,,,,,,,,,,,,,
C3_formula_69.cnf,17,1.7765,00000001001001000010000000000000010100000100000100,4,7.106,,,,,,,,,,,,,,,,,,,,
C3_formula_70.cnf,43,4.4935,01000011001001010110001001000000001000011100011001,4,17.974,,,,,,,,,,,,,,,,,,,,
C3_formula_71.cnf,123,12.8535,00010100001101010000010010000000000000001101101010,4,51.414,,,,,,,,,,,,,,,,,,,,
C3_formula_72.cnf,144,15.048,01010001011001110000001110110000010000010010000000,4,60.192,,,,,,,,,,,,,,,,,,,,
C3_formula_73.cnf,37,3.8665,00101101110001010010001000010001001000010000000010,4,15.466,,,,,,,,,,,,,,,,,,,,
C3_formula_74.cnf,243,25.3935,11000001100010000000010101111100111000101101101111,4,101.574,,,,,,,,,,,,,,,,,,,,
C3_formula_75.cnf,88,9.196,00000001000000000110101000100000011001001011000111,4,36.784,,,,,,,,,,,,,,,,,,,,
C3_formula_76.cnf,47,4.9115,11000000010000010111000000100000010011111101011000,4,19.646,,,,,,,,,,,,,,,,,,,,
C3_formula_77.cnf,85,8.8825,11010000110100001000000000000000100011100000010011,4,35.53,,,,,,,,,,,,,,,,,,,,
C3_formula_78.cnf,93,9.7185,00100111100001000000011000100000100010000000010100,4,38.874,,,,,,,,,,,,,,,,,,,,
C3_formula_79.cnf,207,21.6315,01110001001100000010100111101000101001001111000100,4,86.526,,,,,,,,,,,,,,,,,,,,
C3_formula_80.cnf,59,6.1655,00000110000011001000010110101011001000010011110001,4,24.662,,,,,,,,,,,,,,,,,,,,
C3_formula_81.cnf,283,29.5735,11111100011101000011100000000010100100000000010011,4,118.294,,,,,,,,,,,,,,,,,,,,
C3_formula_82.cnf,12,1.254,00000100100000000010110000110001000100100100000000,4,5.016,,,,,,,,,,,,,,,,,,,,
C3_formula_83.cnf,22,2.299,10100010010011000100010100000001001111110100001010,4,9.196,,,,,,,,,,,,,,,,,,,,
C3_formula_84.cnf,132,13.794,11101010011000001000000000001011000011011001111010,4,55.176,,,,,,,,,,,,,,,,,,,,
C3_formula_85.cnf,212,22.154,01111101001100001100010010000000000001110011000000,4,88.616,,,,,,,,,,,,,,,,,,,,
C3_formula_86.cnf,12,1.254,00011100011000010100100001100010110100000001010100,4,5.016,,,,,,,,,,,,,,,,,,,,
C3_formula_87.cnf,346,36.157,01000001011000000100010000001100001100100010001000,4,144.628,,,,,,,,,,,,,,,,,,,,
C3_formula_88.cnf,346,36.157,10001101000001010010000010100010101101101100011110,4,144.628,,,,,,,,,,,,,,,,,,,,
C3_formula_89.cnf,43,4.4935,10010111000001011000010011101000101100011011100000,4,17.974,,,,,,,,,,,,,,,,,,,,
C3_formula_90.cnf,85,8.8825,00011010011010000101001000010101101101010000110001,4,35.53,,,,,,,,,,,,,,,,,,,,
C3_formula_91.cnf,160,16.72,00101100100010110101010010100000010101110101001101,4,66.88,,,,,,,,,,,,,,,,,,,,
C3_formula_92.cnf,175,18.2875,11010001010010010000100100000111010001111110000001,4,73.15,,,,,,,,,,,,,,,,,,,,
C3_formula_93.cnf,139,14.5255,00000101011000000011101010101100010100100011101000,4,58.102,,,,,,,,,,,,,,,,,,,,
C3_formula_94.cnf,5,0.5225,00000101110000001010011000000010100000000010100001,4,2.09,,,,,,,,,,,,,,,,,,,,
C3_formula_95.cnf,1169,122.1605,10111110000100010011111000110111001110001001011001,4,488.642,,,,,,,,,,,,,,,,,,,,
C3_formula_96.cnf,123,12.8535,01110000010010010110000101001011001010101100000101,4,51.414,,,,,,,,,,,,,,,,,,,,
C3_formula_97.cnf,50,5.225,00110100010000010100001000110101110000000000001000,4,20.9,,,,,,,,,,,,,,,,,,,,
